Diss,Name,Artist,Category,Subcategory,Release Date,Release Order,Length of song (min),Streams
"Pull your contract 'cause we gotta see the split
The way you doin' splits, bitch, your pants might rip",Push Ups,Drake,Career and Talent,Industry Connects/Exploitation,04/13/2024,2,3.87,179639053
You better do that motherfuckin' show inside the bity,Push Ups,Drake,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,04/13/2024,2,3.87,179639053
You better do that motherfuckin' show inside the bity,Push Ups,Drake,Career and Talent,Industry Connects/Exploitation,04/13/2024,2,3.87,179639053
"Maroon 5 need a verse, you better make it witty
Then we need a verse for the Swifties",Push Ups,Drake,Career and Talent,Artistic ability,04/13/2024,2,3.87,179639053
"Top say drop, you better drop and give 'em fifty",Push Ups,Drake,Career and Talent,Industry Connects/Exploitation,04/13/2024,2,3.87,179639053
"Pipsqueak, pipe down",Push Ups,Drake,Physicality and Masculinity,Physical Attributes,04/13/2024,2,3.87,179639053
"You ain't in no big three, SZA got you wiped down
Travis got you wiped down, Savage got you wiped down",Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
"Like your label, boy, you in a scope right now
And you gon' feel the aftermath of what I write down",Push Ups,Drake,Violence and Threats,Implied Threats/Intimidation,04/13/2024,2,3.87,179639053
"Like your label, boy, you in a scope right now
And you gon' feel the aftermath of what I write down",Push Ups,Drake,Career and Talent,Goading/Provocation/Warning,,,,
"I'm at the top of the mountain, so you tight now
Just to have this talk with your ass, I had to hike down",Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
"I'm at the top of the mountain, so you tight now
Just to have this talk with your ass, I had to hike down",Push Ups,Drake,Physicality and Masculinity,Physical Attributes,,,,
Big difference 'tween Mike then and Mike now,Push Ups,Drake,Career and Talent,Goading/Provocation/Warning,04/13/2024,2,3.87,179639053
"What the fuck is this, a twenty-v-one, nigga?",Push Ups,Drake,Career and Talent,Industry Connects/Exploitation,04/13/2024,2,3.87,179639053
"What's a prince to a king? He a son, nigga",Push Ups,Drake,Career and Talent,Artistic ability,04/13/2024,2,3.87,179639053
"Get more love in the city that you from, nigga",Push Ups,Drake,Street Cred and Cultural Authenticity,Geographical Claims,04/13/2024,2,3.87,179639053
"Get more love in the city that you from, nigga",Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
"Yeah, I'm the 6ix God, I'm the frontrunner",Push Ups,Drake,Street Cred and Cultural Authenticity,Geographical Claims,04/13/2024,2,3.87,179639053
"I'll be rockin' every fuckin' chain I own next visit, ayy",Push Ups,Drake,Violence and Threats,Implied Threats/Intimidation,04/13/2024,2,3.87,179639053
I be with some bodyguards like Whitney,Push Ups,Drake,Women,Misogyny,04/13/2024,2,3.87,179639053
"Top say drop, your little midget ass better fuckin'",Push Ups,Drake,Physicality and Masculinity,Physical Attributes,04/13/2024,2,3.87,179639053
"Ayy, better drop and give me fifty, ayy",Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
"Drop and give me fifty, drop and give me fifty, ayy",Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
"Niggas really got me out here talkin' like I'm 50, ayy",Push Ups,Drake,Career and Talent,Industry Connects/Exploitation,04/13/2024,2,3.87,179639053
"This for all the top dogs, drop and give me fifty, drop, drop",Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
"And that fuckin' song y'all got did not start the beef with us, This shit been brewin' in a pot, now I'm heatin' up",Push Ups,Drake,Career and Talent,Goading/Provocation/Warning,04/13/2024,2,3.87,179639053
"I don't care what Cole think, that Dot shit was weak as fuck",Push Ups,Drake,Career and Talent,Artistic ability,04/13/2024,2,3.87,179639053
Nigga callin' Top to see if Top wanna peace it up,Push Ups,Drake,Career and Talent,Industry Connects/Exploitation,04/13/2024,2,3.87,179639053
"Nah, pussy, now you on your own when you speakin' up",Push Ups,Drake,Career and Talent,Goading/Provocation/Warning,04/13/2024,2,3.87,179639053
"Beggin' Kai Cenat, boy, you not fuckin' beatin' us",Push Ups,Drake,Career and Talent,Industry Connects/Exploitation,04/13/2024,2,3.87,179639053
"Numbers-wise, I'm out of here, you not fuckin' creepin' up",Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
"Money-wise, I'm out of here, you not fuckin' sneakin' up",Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
"Money-wise, I'm out of here, you not fuckin' sneakin' up",Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
"Cornball, your show money merch-money fee to us",Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
"This ain't even everything I know, don't wake the demon up",Push Ups,Drake,Career and Talent,Goading/Provocation/Warning,04/13/2024,2,3.87,179639053
Drop a fifty bag for the mob in the spot,Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
"Drop a fifty bag, twenty-nine for the thot",Push Ups,Drake,Women,Misogyny,04/13/2024,2,3.87,179639053
"Uh, I was really, really tryna keep it PG",Push Ups,Drake,Career and Talent,Goading/Provocation/Warning,04/13/2024,2,3.87,179639053
I'm definitely 'bout to come around the Lang gang and let my fuckin' bowel move,Taylor Made Freestyle,Drake,Violence and Threats,Physical Harm/Direct Threats,04/19/2024,3,3.85,
Shittin' on you niggas from a whole different altitude,Taylor Made Freestyle,Drake,Violence and Threats,Physical Harm/Direct Threats,04/19/2024,3,3.85,
Shittin' on you niggas from a whole different altitude,Taylor Made Freestyle,Drake,Career and Talent,Commercial success/lack thereof,04/19/2024,3,3.85,
High up in the sky like I'm Howard Hughes,Taylor Made Freestyle,Drake,Career and Talent,Commercial success/lack thereof,04/19/2024,3,3.85,
But now we gotta wait a fuckin' week 'cause Taylor Swift is your new Top,Taylor Made Freestyle,Drake,Career and Talent,Artistic ability,04/19/2024,3,3.85,
"And if you 'bout to drop, she gotta approve",Taylor Made Freestyle,Drake,Career and Talent,Artistic ability,04/19/2024,3,3.85,
This girl really 'bout to make you act like you not in a feud,Taylor Made Freestyle,Drake,Career and Talent,Goading/Provocation/Warning,04/19/2024,3,3.85,
"She tailor-made your schedule with Ant, you out of the loop",Taylor Made Freestyle,Drake,Career and Talent,Industry Connects/Exploitation,04/19/2024,3,3.85,
"Hate all you corporate industry puppets, I'm not in the mood",Taylor Made Freestyle,Drake,Career and Talent,Industry Connects/Exploitation,04/19/2024,3,3.85,
I love it when you niggas talk loose like I'm not in the room,Taylor Made Freestyle,Drake,Career and Talent,Commercial success/lack thereof,04/19/2024,3,3.85,
"Since ""Like That,"" your tone changed a little, you not as enthused",Taylor Made Freestyle,Drake,Career and Talent,Goading/Provocation/Warning,04/19/2024,3,3.85,
How are you not in the booth? It feel like you kinda removed,Taylor Made Freestyle,Drake,Career and Talent,Goading/Provocation/Warning,04/19/2024,3,3.85,
"You tryna let this shit die down, nah, nah, nah",Taylor Made Freestyle,Drake,Career and Talent,Goading/Provocation/Warning,04/19/2024,3,3.85,
"Not this time, nigga, you followin' through, Not this time, nigga, you followin' through",Taylor Made Freestyle,Drake,Career and Talent,Goading/Provocation/Warning,04/19/2024,3,3.85,
I guess you need another week to figure out how to improve,Taylor Made Freestyle,Drake,Career and Talent,Artistic ability,04/19/2024,3,3.85,
What the fuck is taking so long? We waitin' on you,Taylor Made Freestyle,Drake,Career and Talent,Goading/Provocation/Warning,04/19/2024,3,3.85,
"She got the whole pgLang on mute like that Beyoncé challenge, y'all boys quiet for the weekend",Taylor Made Freestyle,Drake,Career and Talent,Industry Connects/Exploitation,04/19/2024,3,3.85,
"Dot, I know you're in that NY apartment, you strugglin' right now, I know it",Taylor Made Freestyle,Drake,Character,Public vs private self,04/19/2024,3,3.85,
"In the notepad doing lyrical gymnastics, my boy",Taylor Made Freestyle,Drake,Career and Talent,Artistic ability,04/19/2024,3,3.85,
"You better have a motherfuckin' quintuple entendre on that shit, Some shit I don't even understand",Taylor Made Freestyle,Drake,Career and Talent,Artistic ability,04/19/2024,3,3.85,
"Them super powers gettin' neutralized, I can only watch in silence",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
The famous actor we once knew is lookin' paranoid and now is spiralin',Euphoria,Kendrick,Character,Behavioural Criticism,04/30/2024,4,6.4,338333831
"You're movin' just like a degenerate, every antic is feelin' distasteful",Euphoria,Kendrick,Character,Behavioural Criticism,04/30/2024,4,6.4,338333831
"I calculate you're not as calculated, I can even predict your angle",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
Fabricatin' stories on the family front 'cause you heard Mr. Morale,Euphoria,Kendrick,Family,Family dynamics,04/30/2024,4,6.4,338333831
"A pathetic master manipulator, I can smell the tales on you now",Euphoria,Kendrick,Character,Moral Character,04/30/2024,4,6.4,338333831
"You'rе not a rap artist, you a scam artist with the hopes of being accеpted",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
"Tommy Hilfiger stood out, but FUBU never had been your collection",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,04/30/2024,4,6.4,338333831
"I make music that electrify 'em, you make music that pacify 'em",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,04/30/2024,4,6.4,338333831
"I make music that electrify 'em, you make music that pacify 'em",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
"I can double down on that line, but spare you this time, that's random acts of kindness",Euphoria,Kendrick,Career and Talent,Goading/Provocation/Warning,04/30/2024,4,6.4,338333831
Know you a master manipulator and habitual liar too,Euphoria,Kendrick,Character,Moral Character,04/30/2024,4,6.4,338333831
But don't tell no lie about me and I won't tell truths 'bout you,Euphoria,Kendrick,Career and Talent,Goading/Provocation/Warning,04/30/2024,4,6.4,338333831
"Yeah, I'm out the way, yeah, I'm low, okay",Euphoria,Kendrick,Character,Moral Character,04/30/2024,4,6.4,338333831
"Yeah, the island right here's remote, okay",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
"I ain't thinkin' about no reaper, nigga, I'm reapin' what I sow, okay",Euphoria,Kendrick,Career and Talent,Commercial success/lack thereof,04/30/2024,4,6.4,338333831
"Got a Benjamin and a Jackson all in my house like I'm Joe, okay",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
"Hellcat, made his homeboys and them type sell they soul, okay",Euphoria,Kendrick,Career and Talent,Industry Connects/Exploitation,04/30/2024,4,6.4,338333831
Everybody wanna be demon 'til they get chipped by a throwaway,Euphoria,Kendrick,Character,Behavioural Criticism,04/30/2024,4,6.4,338333831
Everybody wanna be demon 'til they get chipped by a throwaway,Euphoria,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,04/30/2024,4,6.4,338333831
"And I might do a show a day, once a lame, always a lame",Euphoria,Kendrick,Character,Moral Character,04/30/2024,4,6.4,338333831
"Oh, you thought the money, the power or fame would make you go away?",Euphoria,Kendrick,Career and Talent,Commercial success/lack thereof,04/30/2024,4,6.4,338333831
Have you ever walked your enemy down like with a poker face?,Euphoria,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,04/30/2024,4,6.4,338333831
Have you ever paid five hundred thou' like to an open case?,Euphoria,Kendrick,Career and Talent,Commercial success/lack thereof,04/30/2024,4,6.4,338333831
"Well, I have, and I failed at both, but I came out straight",Euphoria,Kendrick,Character,Moral Character,04/30/2024,4,6.4,338333831
"I hate when a rapper talk about guns, then somebody die, they turn into nuns",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,04/30/2024,4,6.4,338333831
"Then hop online like ""Pray for my city,"" he fakin' for likes and digital hugs",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,04/30/2024,4,6.4,338333831
"His daddy a killer, he wanna be junior, they must've forgot the shit that they done",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,04/30/2024,4,6.4,338333831
"Dementia must run in his family, but let it get shaky, I'll park his son",Euphoria,Kendrick,Family,Family dynamics,04/30/2024,4,6.4,338333831
"Dementia must run in his family, but let it get shaky, I'll park his son",Euphoria,Kendrick,Violence and Threats,Physical Harm/Direct Threats,04/30/2024,4,6.4,338333831
"The very first time I shot me a Drac', the homie had told me to aim it this way
I didn't point down enough, today, I'll show you I learned from those mistakes",Euphoria,Kendrick,Violence and Threats,Physical Harm/Direct Threats,04/30/2024,4,6.4,338333831
"The very first time I shot me a Drac', the homie had told me to aim it this way
I didn't point down enough, today, I'll show you I learned from those mistakes",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,04/30/2024,4,6.4,338333831
"Somebody had told me that you got a ring, on God, I'm ready to double the wage",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
I'd rather do that than let a Canadian nigga make Pac turn in his grave,Euphoria,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,04/30/2024,4,6.4,338333831
"Cutthroat business, you got shit twisted
What is it? The braids?",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,04/30/2024,4,6.4,338333831
I hurt your feelings? You don't wanna work with me no more? Okay,Euphoria,Kendrick,Career and Talent,Goading/Provocation/Warning,04/30/2024,4,6.4,338333831
"It's three GOATs left, and I seen two of them kissin' and huggin' on stage",Euphoria,Kendrick,Physicality and Masculinity,Sexual Prowess/Manhood,04/30/2024,4,6.4,338333831
"I love 'em to death, and in eight bars, I'll explain that phrase, huh",Euphoria,Kendrick,Violence and Threats,Implied Threats/Intimidation,04/30/2024,4,6.4,338333831
"I don't wanna talk on no celly, huh
You know I got language barriers, huh",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,04/30/2024,4,6.4,338333831
"I don't wanna talk on no celly, huh
You know I got language barriers, huh",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
"It's no accent you can sell me, huh",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,04/30/2024,4,6.4,338333831
"Yeah, Cole and Aubrey know I'm a selfish nigga, the crown is heavy, huh",Euphoria,Kendrick,Career and Talent,Commercial success/lack thereof,04/30/2024,4,6.4,338333831
"I pray they my real friends, if not, I'm YNW Melly",Euphoria,Kendrick,Violence and Threats,Physical Harm/Direct Threats,04/30/2024,4,6.4,338333831
"I don't like you poppin' shit at Pharrell, for him, I inherit the beef",Euphoria,Kendrick,Career and Talent,Industry Connects/Exploitation,04/30/2024,4,6.4,338333831
"Yeah, fuck all that pushin' P, let me see you push a T",Euphoria,Kendrick,Career and Talent,Industry Connects/Exploitation,04/30/2024,4,6.4,338333831
"You better off spinnin' again on him, you think about pushin' me",Euphoria,Kendrick,Violence and Threats,Implied Threats/Intimidation,04/30/2024,4,6.4,338333831
"He's Terrence Thornton, I'm Terence Crawford, yeah, I'm whoopin' feet",Euphoria,Kendrick,Violence and Threats,Implied Threats/Intimidation,04/30/2024,4,6.4,338333831
"We ain't gotta get personal, this a friendly fade, you should keep it that way",Euphoria,Kendrick,Violence and Threats,Implied Threats/Intimidation,04/30/2024,4,6.4,338333831
I know some shit about niggas that make Gunna Wunna look like a saint,Euphoria,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,04/30/2024,4,6.4,338333831
"This ain't been about critics, not about gimmicks, not about who the greatest",Euphoria,Kendrick,Career and Talent,Commercial success/lack thereof,04/30/2024,4,6.4,338333831
"It's always been about love and hate, now let me say I'm the biggest hater",Euphoria,Kendrick,Character,Moral Character,04/30/2024,4,6.4,338333831
"I hate the way that you walk, the way that you talk, I hate the way that you dress",Euphoria,Kendrick,Physicality and Masculinity,Physical Attributes,04/30/2024,4,6.4,338333831
"I hate the way that you sneak diss, if I catch flight, it's gon' be direct",Euphoria,Kendrick,Character,Behavioural Criticism,04/30/2024,4,6.4,338333831
We hate the bitches you fuck 'cause they confuse themself with real women,Euphoria,Kendrick,Women,Misogyny,04/30/2024,4,6.4,338333831
"And notice, I said ""we,"" it's not just me, I'm what the culture feelin'",Euphoria,Kendrick,Character,Behavioural Criticism,04/30/2024,4,6.4,338333831
How many more fairytale stories 'bout your life 'til we had enough?,Euphoria,Kendrick,Character,Behavioural Criticism,04/30/2024,4,6.4,338333831
How many more Black features 'til you finally feel that you're Black enough?,Euphoria,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,04/30/2024,4,6.4,338333831
"I like Drake with the melodies, I don't like Drake when he act tough",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
"You gon' make a nigga bring back Puff, let me see if Chubbs really crash somethin'",Euphoria,Kendrick,Violence and Threats,Implied Threats/Intimidation,04/30/2024,4,6.4,338333831
"Yeah, my first one like my last one, it's a classic, you don't have one",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
"Let your core audience stomach that, then tell 'em where you get your abs from",Euphoria,Kendrick,Physicality and Masculinity,Physical Attributes,04/30/2024,4,6.4,338333831
"V12, it's a fast one, baow-baow-baow, last one",Euphoria,Kendrick,Physicality and Masculinity,Physical Attributes,04/30/2024,4,6.4,338333831
"V12, it's a fast one, baow-baow-baow, last one",Euphoria,Kendrick,Violence and Threats,Physical Harm/Direct Threats,04/30/2024,4,6.4,338333831
"Headshot for the year, you better walk around like Daft Punk",Euphoria,Kendrick,Violence and Threats,Physical Harm/Direct Threats,04/30/2024,4,6.4,338333831
"Ayy, Top Dawg, who the fuck they think they playin' with?",Euphoria,Kendrick,Career and Talent,Goading/Provocation/Warning,04/30/2024,4,6.4,338333831
"Extortion my middle name as soon as you jump off of that plane, bitch",Euphoria,Kendrick,Violence and Threats,Physical Harm/Direct Threats,04/30/2024,4,6.4,338333831
"Extortion my middle name as soon as you jump off of that plane, bitch",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,04/30/2024,4,6.4,338333831
"I'm allergic to the lame shit, only you like bein' famous",Euphoria,Kendrick,Character,Behavioural Criticism,04/30/2024,4,6.4,338333831
"Yachty can't give you no swag neither, I don't give a fuck 'bout who you hang with",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,04/30/2024,4,6.4,338333831
"Surprised you wanted that feature request, you know that we got some shit to address",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
"I even hate when you say the word ""nigga,"" but that's just me, I guess",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,04/30/2024,4,6.4,338333831
"Some shit just cringeworthy, it ain't even gotta be deep, I guess",Euphoria,Kendrick,Character,Behavioural Criticism,04/30/2024,4,6.4,338333831
"Keep makin' me dance, wavin' my hand, and it won't be no threat",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
"I'm knowin' they call you The Boy, but where is a man? 'Cause I ain't seen him yet",Euphoria,Kendrick,Physicality and Masculinity,Sexual Prowess/Manhood,04/30/2024,4,6.4,338333831
"Matter fact, I ain't even bleed him yet, can I bleed him? (Bet)",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,04/30/2024,4,6.4,338333831
"When I see you stand by Sexyy Red, I believe you see two bad bitches",Euphoria,Kendrick,Physicality and Masculinity,Sexual Prowess/Manhood,04/30/2024,4,6.4,338333831
"When I see you stand by Sexyy Red, I believe you see two bad bitches",Euphoria,Kendrick,Women,Misogyny,04/30/2024,4,6.4,338333831
"I believe you don't like women, it's real competition",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
"I believe you don't like women, it's real competition",Euphoria,Kendrick,Women,Misogyny,04/30/2024,4,6.4,338333831
 you might pop ass with 'em,Euphoria,Kendrick,Physicality and Masculinity,Sexual Prowess/Manhood,,,,
"Let's speak on percentage, show me your splits, I'll make sure I double back with ya",Euphoria,Kendrick,Career and Talent,Commercial success/lack thereof,04/30/2024,4,6.4,338333831
You were signed to a nigga that's signed to a nigga that said he was signed to that nigga,Euphoria,Kendrick,Career and Talent,Industry Connects/Exploitation,04/30/2024,4,6.4,338333831
"Try cease and desist on the ""Like That"" record?
Ho, what? You ain't like that record?
",Euphoria,Kendrick,Career and Talent,Goading/Provocation/Warning,04/30/2024,4,6.4,338333831
Why would I call around tryna get dirt on niggas? Y'all think all my life is rap?,Euphoria,Kendrick,Character,Behavioural Criticism,04/30/2024,4,6.4,338333831
"That's ho shit, I got a son to raise, but I can see you don't know nothin' 'bout that",Euphoria,Kendrick,Family,Parenting abilities/presence,04/30/2024,4,6.4,338333831
"Wakin' him up, know nothin' 'bout that",Euphoria,Kendrick,Family,Parenting abilities/presence,04/30/2024,4,6.4,338333831
"Then tell him to pray, know nothin' 'bout that",Euphoria,Kendrick,Family,Parenting abilities/presence,04/30/2024,4,6.4,338333831
"Then tell him to pray, know nothin' 'bout that",Euphoria,Kendrick,Character,Moral Character,04/30/2024,4,6.4,338333831
"Then givin' him tools to walk through life like day by day, know nothin' 'bout that",Euphoria,Kendrick,Family,Parenting abilities/presence,04/30/2024,4,6.4,338333831
"Teachin' him morals, integrity, discipline, listen, man, you don't know nothin' 'bout that",Euphoria,Kendrick,Family,Parenting abilities/presence,04/30/2024,4,6.4,338333831
"Teachin' him morals, integrity, discipline, listen, man, you don't know nothin' 'bout that",Euphoria,Kendrick,Character,Moral Character,04/30/2024,4,6.4,338333831
"Speakin' the truth and consider what God's considerin', you don't know nothin' 'bout that",Euphoria,Kendrick,Family,Parenting abilities/presence,04/30/2024,4,6.4,338333831
"Speakin' the truth and consider what God's considerin', you don't know nothin' 'bout that",Euphoria,Kendrick,Character,Moral Character,04/30/2024,4,6.4,338333831
"Ain't twenty-v-one, it's one-v-twenty if I gotta smack niggas that write with you",Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
"Ain't twenty-v-one, it's one-v-twenty if I gotta smack niggas that write with you",Euphoria,Kendrick,Violence and Threats,Implied Threats/Intimidation,04/30/2024,4,6.4,338333831
"Yeah, bring 'em out too, I'll clean 'em out too, tell BEAM that he better stay right with you",Euphoria,Kendrick,Violence and Threats,Implied Threats/Intimidation,04/30/2024,4,6.4,338333831
Am I battlin' ghost or AI?,Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
Nigga feelin' like Joe Hale Osteen,Euphoria,Kendrick,Career and Talent,Artistic ability,04/30/2024,4,6.4,338333831
And my sixth sense tellin' me to off him,Euphoria,Kendrick,Violence and Threats,Implied Threats/Intimidation,04/30/2024,4,6.4,338333831
I'ma blick niggas all in they coffin,Euphoria,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,04/30/2024,4,6.4,338333831
I'ma blick niggas all in they coffin,Euphoria,Kendrick,Violence and Threats,Physical Harm/Direct Threats,04/30/2024,4,6.4,338333831
"Yeah, OV-ho niggas is dick riders",Euphoria,Kendrick,Physicality and Masculinity,Sexual Prowess/Manhood,,,,
"Tell 'em run to America to imitate heritage, they can't imitate this violence
",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,04/30/2024,4,6.4,338333831
"Tell 'em run to America to imitate heritage, they can't imitate this violence
",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Geographical Claims,04/30/2024,4,6.4,338333831
"What I learned is niggas don't like the West Coast, and I'm fine with it, I'll push the line with it
Pick a nigga off one at a time with it
We can be on a three-hour time difference
",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Geographical Claims,04/30/2024,4,6.4,338333831
"Don't speak on the family, crodie
It can get deep in the family, crodie
",Euphoria,Kendrick,Family,Family dynamics,04/30/2024,4,6.4,338333831
"Talk about me and my family, crodie?
Someone gon' bleed in your family, crodie
",Euphoria,Kendrick,Family,Family dynamics,04/30/2024,4,6.4,338333831
"Talk about me and my family, crodie?
Someone gon' bleed in your family, crodie
",Euphoria,Kendrick,Violence and Threats,Physical Harm/Direct Threats,04/30/2024,4,6.4,338333831
"I be at New Ho King eatin' fried rice with a dip sauce and a blammy, crodie",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Geographical Claims,04/30/2024,4,6.4,338333831
"Tell me you're cheesin', fam",Euphoria,Kendrick,Career and Talent,Goading/Provocation/Warning,04/30/2024,4,6.4,338333831
"We can do this right now on the camera, crodie",Euphoria,Kendrick,Career and Talent,Goading/Provocation/Warning,04/30/2024,4,6.4,338333831
"Ayy, fuck y'all niggas, I don't trust y'all niggas
I wave one finger and thump y'all niggas like mmm
",Euphoria,Kendrick,Violence and Threats,Physical Harm/Direct Threats,04/30/2024,4,6.4,338333831
"Field goal, punt y'all niggas, they punk y'all niggas, nobody never took my food",Euphoria,Kendrick,Violence and Threats,Implied Threats/Intimidation,04/30/2024,4,6.4,338333831
"Whoever that's fuckin' with him, fuck you niggas, and fuck the industry too",Euphoria,Kendrick,Career and Talent,Industry Connects/Exploitation,04/30/2024,4,6.4,338333831
"If you take it there, I'm takin' it further",Euphoria,Kendrick,Violence and Threats,Implied Threats/Intimidation,04/30/2024,4,6.4,338333831
"Psst, that's something you don't wanna do",Euphoria,Kendrick,Violence and Threats,Implied Threats/Intimidation,04/30/2024,4,6.4,338333831
"We don't wanna hear you say ""nigga"" no more, stop",Euphoria,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,04/30/2024,4,6.4,338333831
"If you in a pine box, box
I would shovel dirt on top",Buried Alive Interlude Pt.2,Drake,Violence and Threats,Implied Threats/Intimidation,05/03/2024,7,1,
You always been a bitch to me,Buried Alive Interlude Pt.2,Drake,Character,Behavioural Criticism,05/03/2024,7,1,
